"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Bilocale via Vincenzo Giuffrida 98, Province - Veneto, Catania","750.0","2","50.0","nan","1"
"2","Trilocale via Francesco Cilea 63, Libertà - Stazione, Catania","650.0","3","62.0","2","1"
"3","Trilocale via Ortigara, Rapisardi, Catania","800.0","3","65.0","nan","1"
"4","Bilocale via delle Acacie 3, Corso Italia - Europa, Catania","850.0","2","40.0","nan","1"
"5","Attico via San Michele, 4, Centro Storico, Catania","1500.0","3","138.0","3","1"
"6","Palazzo - Edificio via Guglielmo Oberdan 141, XX Settembre - Tribunale, Catania","1175.0","5+","1.78","3+","1"
"7","Bilocale via Siena, 18, Vulcania - Sanzio, Catania","950.0","2","75.0","nan","1"
"8","Terratetto unifamiliare via San Giovanni Battista 27, San Giovanni Galermo, Catania","500.0","3","90.0","nan","1"
"9","Appartamento corso Sicilia, Corso Sicilia - Fiera, Catania","1700.0","5","120.0","2","1"
"10","Villa a schiera via quintino cataudella, San Nullo - Sebastiano Catania, Catania","1500.0","5+","240.0","3","1"
"11","Appartamento via Trieste, Corso Italia - Europa, Catania","2200.0","5+","200.0","2","1"
"12","Bilocale via Eleonora D'angiò, Gioeni, Catania","600.0","2","55.0","nan","1"
"13","Appartamento via santa rosa da lima, San Nullo - Sebastiano Catania, Catania","700.0","5+","110.0","2","1"
"14","Monolocale via Luigi Capuana, Corso Sicilia - Fiera, Catania","450.0","nan","40.0","nan","1"
"15","Trilocale via Corvello 12, Province - Veneto, Catania","550.0","3","106.0","nan","1"
"16","Quadrilocale via Peschiera, Cittadella - Policlinico, Catania","750.0","4","110.0","2","1"
"17","Trilocale viale ruggero di lauria, Guardia - Li Cuti, Catania","900.0","3","90.0","nan","1"
"18","Attico via Sassari 1, Province - Veneto, Catania","750.0","5","148.0","2","1"
"19","Appartamento via Nicola Fabrizi, Borgo, Catania","1800.0","5+","270.0","3","1"
"20","Appartamento via Roberto Giuffrida Castorina 33, Vulcania - Sanzio, Catania","780.0","5","165.0","2","1"
"21","Trilocale viale della Libertà 203, Corso Italia - Europa, Catania","1500.0","3","103.0","nan","1"
"22","Palazzo - Edificio via Gisira 59, Centro Storico, Catania","5000.0","5+","728.0","3+","1"
"23","Appartamento corso Italia, Corso Italia - Europa, Catania","1500.0","5+","135.0","nan","1"
"24","Trilocale via Giuseppe Maltese 28, Cibali, Catania","520.0","3","80.0","nan","1"
"25","Quadrilocale via Vicenza 2, Province - Veneto, Catania","850.0","4","120.0","2","1"
"26","Monolocale via Etnea 551, Gioeni, Catania","490.0","nan","30.0","nan","6"
"27","Bilocale via Etnea 551, Gioeni, Catania","600.0","2","50.0","nan","6"
"28","Appartamento corso Sicilia 60, Corso Sicilia - Fiera, Catania","870.0","5","140.0","2","6"
"29","Bilocale via Etnea 551, Gioeni, Catania","650.0","2","50.0","nan","6"
"30","Monolocale via Firenze 97, Corso Italia - Europa, Catania","450.0","nan","47.0","nan","6"
"31","Bilocale buono stato, secondo piano, Cibali, Catania","650.0","2","75.0","nan","6"
"32","Bilocale via Maniace 13, Gioeni, Catania","500.0","2","65.0","nan","6"
"33","Trilocale via Teatro Massimo, Centro Storico, Catania","750.0","3","85.0","2","6"
"34","Quadrilocale via Teatro Massimo 34, Centro Storico, Catania","750.0","4","100.0","2","6"
"35","Monolocale via Etnea 551, Gioeni, Catania","470.0","nan","30.0","nan","6"
"36","Bilocale via Vicenza 9, Province - Veneto, Catania","610.0","2","70.0","nan","6"
"37","Appartamento via Vincenzo Giuffrida 4, XX Settembre - Tribunale, Catania","1000.0","5+","150.0","2","6"
"38","Bilocale via Tripolitania 24, Province - Veneto, Catania","360.0","2","64.0","nan","6"
"39","Appartamento via Livorno 1, Corso Italia - Europa, Catania","1000.0","5","124.0","2","6"
"40","Appartamento via Cervignano 47, Corso Italia - Europa, Catania","950.0","5+","170.0","2","6"
"41","Appartamento piazza Giovanni Verga 29, XX Settembre - Tribunale, Catania","1500.0","5+","220.0","2","6"
"42","Trilocale viale Leonardo Da Vinci 3, Vulcania - Sanzio, Catania","770.0","3","112.0","2","6"
"43","Trilocale piazza del Carmelo 33, Barriera - Leucatia, Catania","600.0","3","85.0","nan","6"
"44","Appartamento via Coppola 14, Centro Storico, Catania","4500.0","5+","505.0","3+","6"
"45","Palazzo - Edificio via Cifali 24, Cibali, Catania","2900.0","5+","3.9","3+","6"
"46","Appartamento via Sassari, Province - Veneto, Catania","750.0","5","140.0","nan","6"
"47","Trilocale via Vittorio Emanuele II 339, Centro Storico, Catania","680.0","3","80.0","nan","6"
"48","Appartamento corso Italia 314, Corso Italia - Europa, Catania","1400.0","5+","159.0","nan","6"
"49","Monolocale via Michele Scammacca, Picanello, Catania","640.0","nan","50.0","nan","6"
"50","Attico via Messina 212, Corso Italia - Europa, Catania","950.0","4","132.0","2","6"
"51","Appartamento piazza Vittorio Emanuele III, Corso Sicilia - Fiera, Catania","1000.0","5","170.0","nan","3"
"52","Mansarda via Giuseppe Terranova 20, Centro Storico, Catania","600.0","2","55.0","nan","3"
"53","Trilocale via Cifali, Cibali, Catania","1050.0","3","120.0","nan","3"
"54","Appartamento viale mario rapisardi 73, Ferrarotto - Acquedotto Greco, Catania","800.0","5","145.0","2","3"
"55","Appartamento via Policastro 23, Rotolo, Catania","900.0","5","183.0","2","3"
"56","Appartamento via Passo Gravina, Barriera - Leucatia, Catania","1000.0","5","130.0","2","3"
"57","Trilocale via Empedocle 129 A, Gioeni, Catania","650.0","3","90.0","2","3"
"58","Quadrilocale via Giuseppe Borrello 20, Province - Veneto, Catania","550.0","4","100.0","nan","3"
"59","Trilocale via Argo 22, Carruba di Ognina - Teseo, Catania","570.0","3","88.0","nan","3"
"60","Bilocale via Enrico Adolfo Pantano, XX Settembre - Tribunale, Catania","1100.0","2","55.0","2","3"
"61","Appartamento via Trieste 46, Corso Italia - Europa, Catania","950.0","5+","140.0","nan","3"
"62","Bilocale via Enrico Adolfo Pantano, XX Settembre - Tribunale, Catania","950.0","2","55.0","2","3"
"63","Bilocale via Enrico Adolfo Pantano, XX Settembre - Tribunale, Catania","1100.0","2","55.0","2","3"
"64","Trilocale via Adelaide Bernardini, Palestro, Catania","280.0","3","65.0","nan","3"
"65","Quadrilocale via Giacomo Leopardi 23, Province - Veneto, Catania","700.0","4","120.0","2","3"
"66","Bilocale via Girolamo Gravina 121, San Giovanni Galermo, Catania","300.0","2","60.0","nan","3"
"67","Appartamento viale Andrea Doria 65, Cibali, Catania","740.0","5","130.0","2","3"
"68","Attico via Tito Speri 46, Rapisardi, Catania","660.0","3","69.0","nan","3"
"69","Monolocale viale della Libertà, Libertà - Stazione, Catania","530.0","nan","55.0","nan","3"
"70","Bilocale via Dottor Consoli, 15 c, Villa Bellini - Santa Maria di Gesù, Catania","540.0","2","50.0","nan","3"
"71","Quadrilocale via Gustavo Vagliasindi, Vulcania - Sanzio, Catania","650.0","4","120.0","2","3"
"72","Appartamento Blocco Palma 2, Zona Industriale - San Martino, Catania","2900.0","5+","400.0","3+","3"
"73","Quadrilocale via Livorno 14, Corso Italia - Europa, Catania","700.0","4","120.0","nan","3"
"74","Monolocale via Museo Biscari 4, Centro Storico, Catania","500.0","nan","34.0","nan","3"
"75","Appartamento via teseo 2, Carruba di Ognina - Teseo, Catania","650.0","5+","160.0","nan","3"
"76","Bilocale via Sant'Euplio, Villa Bellini - Santa Maria di Gesù, Catania","650.0","2","70.0","nan","3"
"77","Bilocale corso Sicilia 24, Corso Sicilia - Fiera, Catania","650.0","2","41.0","nan","3"
"78","Bilocale via Camillo Finocchiaro Aprile, Corso Sicilia - Fiera, Catania","400.0","2","50.0","nan","3"
"79","Appartamento via Asiago 54, Corso Italia - Europa, Catania","1000.0","5+","180.0","3","3"
"80","Appartamento via Salvatore Tomaselli 43, Villa Bellini - Santa Maria di Gesù, Catania","1400.0","5+","170.0","2","3"
"81","Quadrilocale viale Andrea Doria 65, Cibali, Catania","740.0","4","135.0","2","3"
"82","Palazzo - Edificio via Vanasco 9, Corso Sicilia - Fiera, Catania","1200.0","5+","1.4","3+","3"
"83","Appartamento piazza Manganelli 13, Centro Storico, Catania","2500.0","5+","135.0","2","3"
"84","Bilocale via Marchese di Casalotto 117, Centro Storico, Catania","580.0","2","60.0","nan","3"
"85","Appartamento piazza della Repubblica 32, Corso Sicilia - Fiera, Catania","1800.0","5+","180.0","2","3"
"86","Bilocale via Francesco Crispi, Corso Sicilia - Fiera, Catania","650.0","2","60.0","nan","3"
"87","Quadrilocale via Dalmazia 19, Corso Italia - Europa, Catania","450.0","4","100.0","nan","3"
"88","Bilocale via Michele Scammacca, Picanello, Catania","740.0","2","55.0","nan","3"
"89","Quadrilocale buono stato, terzo piano, Cibali, Catania","550.0","4","98.0","nan","3"
"90","Attico via Messina, Porto Ulisse - Ognina, Catania","900.0","4","125.0","2","3"
"91","Appartamento via Vanasco 9, Corso Sicilia - Fiera, Catania","1200.0","5+","1.4","3+","3"
"92","Quadrilocale via delle Orfane, Centro Storico, Catania","900.0","4","110.0","2","3"
"93","Appartamento piazza Europa, Corso Italia - Europa, Catania","1500.0","5+","220.0","3","3"
"94","Bilocale via Grimaldi,8, Centro Storico, Catania","1350.0","2","55.0","nan","3"
"95","Appartamento corso Italia, Corso Italia - Europa, Catania","1100.0","5","220.0","2","3"
"96","Appartamento via Pietro Toselli 37, XX Settembre - Tribunale, Catania","2000.0","5+","270.0","3","3"
"97","Trilocale piazza dell'Università, Centro Storico, Catania","750.0","3","81.0","nan","3"
"98","Quadrilocale via San Pietro, Borgo, Catania","650.0","4","100.0","nan","3"
"99","Appartamento via Giuseppe Fava, Cibali, Catania","800.0","5","140.0","2","3"
"100","Bilocale via Lucchese Palli 36/B, Ferrarotto - Acquedotto Greco, Catania","500.0","2","70.0","nan","3"
"101","Quadrilocale ottimo stato, primo piano, Rotolo, Catania","780.0","4","95.0","nan","1"
"102","Bilocale via Alessandro Manzoni,40, Centro Storico, Catania","1200.0","2","60.0","nan","1"
"103","Palazzo - Edificio via Gisira 59, Centro Storico, Catania","5000.0","5+","727.0","3+","1"
"104","Trilocale viale Mario Rapisardi,18, Cibali, Catania","1400.0","3","90.0","nan","1"
"105","Bilocale via Nuovalucello,2, Nuovalucello - Leonardo Da Vinci, Catania","1100.0","2","50.0","nan","1"
"106","Monolocale via Santissima Trinità,57, Centro Storico, Catania","1000.0","nan","40.0","nan","1"
"107","Monolocale via Sisto,30, XX Settembre - Tribunale, Catania","1000.0","nan","35.0","nan","1"
"108","Bilocale via Santissima Trinità,57, Centro Storico, Catania","1100.0","2","46.0","nan","1"
"109","Bilocale via Nuovalucello,2, Nuovalucello - Leonardo Da Vinci, Catania","1100.0","2","50.0","nan","1"
"110","Appartamento buono stato, Gioeni, Catania","1000.0","5+","190.0","2","1"
"111","Quadrilocale ottimo stato, Centro Storico, Catania","930.0","4","123.0","2","1"
"112","Appartamento via Sassari, Province - Veneto, Catania","750.0","5","140.0","2","1"
"113","Albergo via Paolo Gaifami 5, Nuovalucello - Leonardo Da Vinci, Catania","8000.0","5+","2.05","nan","1"
"114","Appartamento via Napoli 67/69, Province - Veneto, Catania","2500.0","5+","360.0","3+","1"
"115","Trilocale nuovo, terzo piano, Borgo, Catania","1000.0","3","80.0","nan","1"
"116","Appartamento buono stato, Concordia - Acquicella Porto, Catania","3500.0","nan","3.0","nan","1"
"117","Quadrilocale buono stato, Province - Veneto, Catania","750.0","4","130.0","2","1"
"118","Trilocale ottimo stato, primo piano, Borgo, Catania","750.0","3","65.0","2","1"
"119","Monolocale piano terra, Province - Veneto, Catania","600.0","nan","41.0","nan","1"
"120","Appartamento via Livorno, Corso Italia - Europa, Catania","850.0","5","110.0","nan","1"
"121","Bilocale via Canfora, Province - Veneto, Catania","450.0","2","30.0","nan","1"
"122","Trilocale via Pittà Barbagallo, Palestro, Catania","750.0","3","60.0","2","1"
"123","Attico ottimo stato, 100 m², Corso Sicilia - Fiera, Catania","1600.0","4","100.0","2","1"
"124","Palazzo - Edificio piazza Giovanni Verga 7, XX Settembre - Tribunale, Catania","850.0","3","100.0","2","1"
"125","Villa a schiera 5 locali, buono stato, Gioeni, Catania","1000.0","5+","190.0","2","1"
"126","Quadrilocale corso Italia, Corso Italia - Europa, Catania","1100.0","4","130.0","2","3"
"127","Quadrilocale via pensavalle, Vulcania - Sanzio, Catania","900.0","4","90.0","2","3"
"128","Appartamento 130 m², Rapisardi, Catania","800.0","5+","130.0","2","3"
"129","Palazzo - Edificio via Roccaromana 49, Villa Bellini - Santa Maria di Gesù, Catania","nan","5+","2.4","nan","3"
"130","Appartamento piazza Galatea, Libertà - Stazione, Catania","850.0","5","135.0","2","3"
"131","Palazzo - Edificio via Etnea, Corso Sicilia - Fiera, Catania","nan","5+","550.0","2","3"
"132","Villa a schiera 5 locali, San Nullo - Sebastiano Catania, Catania","1300.0","5","160.0","2","3"
"133","Appartamento buono stato, terzo piano, Vulcania - Sanzio, Catania","1000.0","5+","185.0","2","3"
"134","Palazzo - Edificio 2 piani, buono stato, XX Settembre - Tribunale, Catania","nan","5+","700.0","3","3"
"135","Villa unifamiliare, nuova, 220 m², Centro Storico, Catania","2200.0","5+","220.0","3+","3"
"136","Monolocale via San Gaetano, Centro Storico, Catania","500.0","nan","nan","nan","3"
"137","Trilocale via Pietro Toselli 21, XX Settembre - Tribunale, Catania","750.0","3","100.0","nan","3"
"138","Trilocale via Sant'Euplio, Centro Storico, Catania","850.0","3","90.0","nan","3"
"139","Appartamento via Piermaria Rosso di San Secondo, Vulcania - Sanzio, Catania","200.0","nan","90.0","2","3"
"140","Appartamento via Musumeci 123, XX Settembre - Tribunale, Catania","1500.0","5+","170.0","3","3"
"141","Bilocale piazza della Repubblica 31, Corso Sicilia - Fiera, Catania","500.0","2","45.0","nan","3"
"142","Bilocale viale Grimaldi 8, Centro Storico, Catania","450.0","2","40.0","nan","3"
"143","Trilocale via San Vincenzo de' Paoli 10, Corso Sicilia - Fiera, Catania","850.0","3","95.0","2","3"
"144","Trilocale via Cronato, Ferrarotto - Acquedotto Greco, Catania","490.0","3","80.0","nan","3"
"145","Quadrilocale via Passo Gravina 1, Barriera - Leucatia, Catania","650.0","4","130.0","2","3"
"146","Trilocale viale della Costituzione 19, Nuovalucello - Leonardo Da Vinci, Catania","700.0","3","105.0","nan","3"
"147","Quadrilocale via Genova 38, Province - Veneto, Catania","850.0","4","130.0","nan","3"
"148","Appartamento via Arrigo Boito 2, San Nullo - Sebastiano Catania, Catania","650.0","5","120.0","2","3"
"149","Quadrilocale via Antonino di Sangiuliano 182, Centro Storico, Catania","1200.0","4","130.0","nan","3"
"150","Quadrilocale via Ramondetta 33, Corso Italia - Europa, Catania","1100.0","4","120.0","nan","3"
"151","Bilocale via Pozzo Mulino 32, Centro Storico, Catania","1000.0","2","80.0","2","0"
"152","Bilocale via Bambino 63, Centro Storico, Catania","360.0","2","45.0","nan","0"
"153","Trilocale via Santa Sofia 49, Cibali, Catania","600.0","3","96.0","2","0"
"154","Trilocale via Penninello 37, Centro Storico, Catania","750.0","3","53.0","nan","0"
"155","Trilocale piazza Sant'Antonio 34, Centro Storico, Catania","450.0","3","80.0","nan","0"
"156","Bilocale via del Principe, Domenico Tempio - Porto, Catania","300.0","2","56.0","nan","0"
"157","Trilocale via Canfora 26, Borgo, Catania","700.0","3","100.0","2","0"
"158","Appartamento in villa via Alalunga 4, Villaggio Paradiso, Catania","5000.0","3","120.0","nan","0"
"159","Quadrilocale via Vittorio Emanuele II 151, Centro Storico, Catania","700.0","4","100.0","nan","0"
"160","Bilocale via Vittorio Emanuele II 359, Centro Storico, Catania","600.0","2","45.0","nan","0"
"161","Quadrilocale via Veglia 1, Picanello, Catania","650.0","4","200.0","nan","0"
"162","Quadrilocale via Ughetti 10, Villa Bellini - Santa Maria di Gesù, Catania","350.0","4","100.0","2","0"
"163","Loft via Teocrito 14, Corso Sicilia - Fiera, Catania","470.0","2","40.0","nan","0"
"164","Monolocale piazza Corsica 13, Corso Italia - Europa, Catania","350.0","nan","35.0","nan","0"
"165","Bilocale via San Gaetano 2, Centro Storico, Catania","500.0","2","100.0","nan","0"
"166","Trilocale viale della Libertà, Libertà - Stazione, Catania","450.0","3","95.0","nan","0"
"167","Palazzo - Edificio via Antonino di Sangiuliano 256, Centro Storico, Catania","2000.0","nan","150.0","nan","0"
"168","Bilocale via di Bella 21, Centro Storico, Catania","500.0","2","70.0","nan","0"
"169","Trilocale via del Rotolo 40, Rotolo, Catania","800.0","3","100.0","nan","0"
"170","Appartamento in villa via del Tavoliere 10, Cittadella - Policlinico, Catania","570.0","2","70.0","nan","0"
"171","Quadrilocale corso Delle Province 20, Corso Italia - Europa, Catania","800.0","4","130.0","2","0"
"172","Attico via Puleo 19, Borgo, Catania","350.0","nan","40.0","nan","0"
"173","Bilocale via Casa del Mutilato 11, Centro Storico, Catania","900.0","2","89.0","nan","0"
"174","Attico via Suor Maria Mazzarello, Province - Veneto, Catania","1200.0","2","70.0","nan","0"
"175","Appartamento via Torrente 14, Cibali, Catania","400.0","nan","50.0","nan","0"
"176","Monolocale via Giovannino 32, Nuovalucello - Leonardo Da Vinci, Catania","600.0","nan","50.0","nan","3"
"177","Attico via Regina Bianca 18, Guardia - Li Cuti, Catania","550.0","2","50.0","nan","3"
"178","Bilocale via Duca degli Abruzzi 188, Picanello, Catania","500.0","2","460.0","nan","3"
"179","Quadrilocale via Maccarello 70, Villaggio Paradiso, Catania","1600.0","4","40.0","nan","3"
"180","Bilocale via Gargano 26, Libertà - Stazione, Catania","600.0","2","59.0","2","3"
"181","Appartamento Raccordo Autostradale Catania Messina, Nuovalucello - Leonardo Da Vinci, Catania","10.0","nan","1.0","nan","3"
"182","Monolocale viale Ruggero Albanese 1, Cannizzaro, Catania","480.0","nan","58.0","nan","3"
"183","Monolocale via Giuseppe Verdi, Corso Sicilia - Fiera, Catania","450.0","nan","35.0","nan","3"
"184","Bilocale via Conte di Torino 17, Libertà - Stazione, Catania","580.0","2","65.0","nan","3"
"185","Bilocale via Androne 37, Villa Bellini - Santa Maria di Gesù, Catania","650.0","2","80.0","nan","3"
"186","Bilocale via Filippo Corridoni, Corso Sicilia - Fiera, Catania","650.0","2","55.0","nan","3"
"187","Trilocale via Generale di San Marzano 8, Nuovalucello - Leonardo Da Vinci, Catania","650.0","3","110.0","nan","3"
